NodeNumber,Equivalent Stress (Pa)
1,2.6056e+007
2,2.4575e+007
3,1.1146e+007
4,8.4027e+006
5,1.2572e+007
6,9.5762e+006
7,1.08e+007
8,2.4051e+007
9,2.43e+007
10,8.0524e+006
11,8.3842e+006
12,1.1703e+007
13,8.2208e+006
14,1.0082e+007
15,1.9835e+008
16,2.2678e+008
17,2.3171e+008
18,1.5805e+008
19,8.0001e+007
20,1.6155e+008
21,2.2437e+008
22,1.9764e+008
23,2.1877e+008
24,2.4417e+008
25,1.4369e+008
26,5.917e+007
27,1.429e+008
28,2.4214e+008
29,84032
30,6.5739e+007
31,2.9869e+005
32,1.7023e+006
33,6.7891e+006
34,1.8872e+007
35,4.701e+007
36,1.4054e+005
37,1.2373e+007
38,4.6628e+005
39,2.0002e+006
40,7.1283e+006
41,1.6779e+007
42,2.2369e+007
43,1.0188e+007
44,2.3375
45,357.56
46,5.216
47,24.018
48,74.857
49,189.64
50,303.07
51,1.9148
52,110.16
53,6.3375
54,29.747
55,91.356
56,140.71
57,169.76
58,3.2392e+007
59,2.0522e+007
60,6.2096e+006
61,2.3759e+007
62,3.207e+007
63,2.0943e+008
64,2.3098e+008
65,2.085e+008
66,2.3646e+008
67,1.9741e+008
68,2.1171e+008
69,2.117e+008
70,2.0929e+008
71,2.067e+008
72,2.0825e+008
73,2.0519e+008
74,2.0949e+008
75,2.1151e+008
76,1.8386e+008
77,2.1117e+008
78,2.0969e+008
79,2.3529e+008
80,1.8885e+008
81,2.0325e+008
82,2.0264e+008
83,2.1067e+008
84,2.1307e+008
85,2.1714e+008
86,2.0931e+008
87,2.1176e+008
88,7.0795e+005
89,3.8488e+006
90,1.2825e+007
91,2.101e+007
92,3.2366e+007
93,4.5935e+007
94,6.9016e+007
95,9.9299e+007
96,1.3563e+008
97,1.8352e+008
98,2.3894e+008
99,2.6627e+008
100,2.4715e+008
101,2.4212e+008
102,9.0397e+005
103,3.0559e+006
104,5.7922e+006
105,8.6668e+006
106,9.6789e+006
107,7.897e+006
108,5.5732e+006
109,2.5896e+006
110,2.3658e+008
111,2.2364e+008
112,2.549e+008
113,2.6829e+008
114,2.4069e+008
115,1.912e+008
116,1.4223e+008
117,1.0347e+008
118,7.2522e+007
119,5.119e+007
120,3.5233e+007
121,2.2528e+007
122,1.1702e+007
123,3.9333e+006
124,1.8505e+008
125,2.2014e+008
126,2.1164e+008
127,2.1053e+008
128,2.0788e+008
129,2.025e+008
130,2.0823e+008
131,2.0381e+008
132,1.9522e+008
133,2.1118e+008
134,2.0961e+008
135,2.0421e+008
136,1.2963e+008
137,1.4152e+008
138,1.9224e+008
139,1.6315e+008
140,1.6853e+008
141,1.5702e+008
142,1.3355e+008
143,1.5194e+008
144,1.5003e+008
145,1.3657e+008
146,1.4004e+008
147,1.4633e+008
148,1.9925e+008
149,1.82e+008
150,4.648e+007
151,1.9285e+007
152,6.5903e+006
153,1.7147e+006
154,3.2382e+005
155,312.95
156,182.59
157,75.569
158,24.289
159,5.1967
160,8.1391e+007
161,4.2533e+007
162,4.957e+007
163,7.9092e+007
164,1.1218e+008
165,1.3041e+008
166,1.3775e+008
167,1.3047e+008
168,1.208e+008
169,1.0323e+008
170,1.9444e+008
171,4.4573e+007
172,4.5706e+007
173,1.8655e+008
174,1.4102e+008
175,1.3535e+008
176,1.3691e+008
177,1.4608e+008
178,1.2307e+008
179,1.3643e+008
180,1.495e+008
181,1.5882e+008
182,1.6404e+008
183,8.3413
184,5.2481e+007
185,3.1178e+007
186,1.2928e+007
187,2.8029e+006
188,7.0345e+005
189,1.8088e+005
190,40029
191,9403.7
192,1965.6
193,511.23
194,99.432
195,20.673
196,7.2649
197,7.1128
198,6.6288
199,4.9613
200,2.5616
201,5.4775
202,6.6578
203,6.7191
204,18.235
205,83.663
206,349.56
207,1396.5
208,6587.9
209,27547
210,1.0959e+005
211,5.3502e+005
212,2.2667e+006
213,9.9472e+006
214,3.4246e+007
215,5.2678e+007
216,2.0984e+008
217,1.5977e+008
218,2.106e+008
219,2.0963e+008
220,2.1061e+008
221,2.1103e+008
222,2.1102e+008
223,2.1112e+008
224,2.103e+008
225,2.1096e+008
226,2.1213e+008
227,2.1143e+008
228,2.096e+008
229,2.0989e+008
230,2.1137e+008
231,2.1178e+008
232,2.1138e+008
233,2.1027e+008
234,2.1095e+008
235,2.1075e+008
236,2.0887e+008
237,2.0974e+008
238,2.0843e+008
239,2.1136e+008
240,2.1037e+008
241,2.1021e+008
242,2.1177e+008
243,2.1118e+008
244,2.1057e+008
245,2.1026e+008
246,2.1034e+008
247,2.1121e+008
248,2.114e+008
249,2.1144e+008
250,2.0907e+008
251,2.0858e+008
252,2.0936e+008
253,2.0756e+008
254,2.105e+008
255,2.0984e+008
256,2.0836e+008
257,2.0864e+008
258,2.0861e+008
259,2.0902e+008
260,2.0947e+008
261,2.1031e+008
262,2.0752e+008
263,2.092e+008
264,2.0899e+008
265,2.0835e+008
266,2.084e+008
267,2.0881e+008
268,2.1405e+008
269,2.1367e+008
270,2.1078e+008
271,1.1707e+008
272,1.364e+008
273,1.2186e+008
274,2.1026e+008
275,1.9193e+008
276,2.0864e+008
277,2.1172e+008
278,2.1135e+008
279,2.0962e+008
280,2.0958e+008
281,2.1347e+008
282,2.1211e+008
283,2.1128e+008
284,2.0893e+008
285,2.0898e+008
286,2.09e+008
287,2.0909e+008
288,2.1018e+008
289,2.1001e+008
290,2.0994e+008
291,2.0968e+008
292,2.1044e+008
293,2.0904e+008
294,2.1006e+008
295,2.108e+008
296,2.1056e+008
297,2.0983e+008
298,2.1023e+008
299,2.1056e+008
300,2.1016e+008
301,2.0966e+008
302,2.0971e+008
303,2.0996e+008
304,2.1123e+008
305,2.1025e+008
306,2.1113e+008
307,2.1078e+008
308,2.101e+008
309,2.1128e+008
