NodeNumber,Equivalent Stress (Pa)
1,1.30E+07
2,1.23E+07
3,5.55E+06
4,3.91E+06
5,5.91E+06
6,4.45E+06
7,5.36E+06
8,1.20E+07
9,1.21E+07
10,4.03E+06
11,3.89E+06
12,5.49E+06
13,3.82E+06
14,5.02E+06
15,1.94E+08
16,1.86E+08
17,1.50E+08
18,8.07E+07
19,4.01E+07
20,8.30E+07
21,1.47E+08
22,2.00E+08
23,1.95E+08
24,1.51E+08
25,7.49E+07
26,2.91E+07
27,7.32E+07
28,1.39E+08
29,40385
30,3.35E+07
31,1.39E+05
32,8.10E+05
33,3.30E+06
34,9.36E+06
35,2.38E+07
36,61912
37,6.36E+06
38,2.14E+05
39,9.48E+05
40,3.45E+06
41,8.32E+06
42,1.12E+07
43,5.34E+06
44,1.0191
45,159.54
46,2.2474
47,10.444
48,32.932
49,84.138
50,134.98
51,0.79237
52,48.793
53,2.6832
54,12.874
55,40.035
56,62.059
57,75.071
58,1.62E+07
59,1.03E+07
60,2.69E+06
61,1.19E+07
62,1.60E+07
63,1.80E+08
64,1.38E+08
65,1.60E+08
66,1.43E+08
67,1.78E+08
68,1.92E+08
69,1.93E+08
70,1.83E+08
71,1.52E+08
72,1.58E+08
73,1.49E+08
74,1.72E+08
75,1.96E+08
76,9.22E+07
77,1.52E+08
78,1.29E+08
79,1.17E+08
80,9.07E+07
81,9.50E+07
82,9.64E+07
83,9.85E+07
84,1.00E+08
85,1.02E+08
86,1.00E+08
87,1.02E+08
88,3.36E+05
89,1.87E+06
90,6.35E+06
91,1.04E+07
92,1.61E+07
93,2.29E+07
94,3.44E+07
95,4.95E+07
96,6.73E+07
97,8.99E+07
98,1.15E+08
99,1.29E+08
100,1.33E+08
101,1.34E+08
102,4.26E+05
103,1.44E+06
104,2.73E+06
105,4.10E+06
106,4.58E+06
107,3.72E+06
108,2.63E+06
109,1.22E+06
110,1.15E+08
111,1.35E+08
112,1.33E+08
113,1.30E+08
114,1.16E+08
115,9.34E+07
116,7.03E+07
117,5.15E+07
118,3.61E+07
119,2.55E+07
120,1.75E+07
121,1.12E+07
122,5.78E+06
123,1.91E+06
124,9.29E+07
125,1.07E+08
126,1.02E+08
127,1.00E+08
128,9.87E+07
129,9.74E+07
130,9.93E+07
131,9.58E+07
132,9.32E+07
133,1.53E+08
134,1.28E+08
135,1.22E+08
136,6.28E+07
137,6.77E+07
138,1.09E+08
139,8.98E+07
140,9.83E+07
141,8.87E+07
