NodeNumber,Total Deformation (m)
1,5.17E-04
2,5.17E-04
3,5.49E-04
4,5.73E-04
5,5.82E-04
6,5.73E-04
7,5.49E-04
8,5.17E-04
9,5.17E-04
10,5.49E-04
11,5.73E-04
12,5.81E-04
13,5.73E-04
14,5.49E-04
15,5.73E-05
16,5.73E-05
17,7.64E-05
18,9.16E-05
19,9.74E-05
20,9.16E-05
21,7.65E-05
22,5.61E-05
23,5.62E-05
24,7.54E-05
25,9.06E-05
26,9.65E-05
27,9.06E-05
28,7.54E-05
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,9.01E-10
37,5.13E-07
38,2.93E-09
39,1.15E-08
40,3.85E-08
41,1.18E-07
42,3.01E-07
43,3.78E-07
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,2.04E-14
52,3.09E-12
53,3.95E-14
54,1.27E-13
55,4.09E-13
56,1.18E-12
57,2.37E-12
58,4.86E-04
59,4.62E-04
60,4.54E-04
61,4.62E-04
62,4.86E-04
63,3.98E-05
64,2.79E-05
65,2.36E-05
66,2.79E-05
67,3.98E-05
68,9.50E-06
69,9.49E-06
70,1.15E-05
71,1.31E-05
72,1.40E-05
73,1.34E-05
74,1.21E-05
75,1.08E-05
76,5.28E-06
77,7.70E-06
78,6.37E-06
79,5.80E-06
80,5.46E-06
81,5.77E-06
82,6.06E-06
83,6.29E-06
84,6.44E-06
85,6.49E-06
86,6.41E-06
87,6.17E-06
88,6.87E-04
89,6.19E-04
90,5.50E-04
91,4.82E-04
92,4.15E-04
93,3.49E-04
94,2.85E-04
95,2.24E-04
96,1.68E-04
97,1.17E-04
98,7.34E-05
99,3.98E-05
100,2.00E-05
101,1.07E-05
102,6.87E-04
103,6.88E-04
104,6.88E-04
105,6.89E-04
106,6.89E-04
107,6.89E-04
108,6.88E-04
109,6.88E-04
110,5.77E-06
111,9.17E-06
112,1.66E-05
113,3.48E-05
114,6.54E-05
115,1.06E-04
116,1.55E-04
117,2.09E-04
118,2.69E-04
119,3.33E-04
120,3.98E-04
121,4.65E-04
122,5.37E-04
123,6.12E-04
124,5.28E-06
125,6.13E-06
126,6.38E-06
127,6.46E-06
128,6.41E-06
129,6.27E-06
130,6.04E-06
131,5.75E-06
132,5.46E-06
133,7.69E-06
134,6.37E-06
135,0
136,3.83E-06
137,2.23E-06
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,3.76E-06
149,1.93E-06
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,2.17E-06
217,1.98E-06
218,2.25E-06
219,2.33E-06
220,2.39E-06
221,2.45E-06
222,2.51E-06
223,2.56E-06
224,2.61E-06
225,2.65E-06
226,2.68E-06
227,2.71E-06
228,2.74E-06
229,2.77E-06
230,2.78E-06
231,2.80E-06
232,2.81E-06
233,2.82E-06
234,2.83E-06
235,2.84E-06
236,2.84E-06
237,2.84E-06
238,2.85E-06
239,2.84E-06
240,2.83E-06
241,2.83E-06
242,2.82E-06
243,2.81E-06
244,2.80E-06
245,2.79E-06
246,2.77E-06
247,2.76E-06
248,2.74E-06
249,2.72E-06
250,2.70E-06
251,2.69E-06
252,2.66E-06
253,2.64E-06
254,2.62E-06
255,2.59E-06
256,2.57E-06
257,2.54E-06
258,2.51E-06
259,2.48E-06
260,2.45E-06
261,2.42E-06
262,2.39E-06
263,2.36E-06
264,2.32E-06
265,2.29E-06
266,2.25E-06
267,2.22E-06
268,2.18E-06
269,2.13E-06
270,2.08E-06
271,1.35E-06
272,1.74E-06
273,1.52E-06
274,1.22E-06
275,1.33E-06
276,1.33E-06
277,1.32E-06
278,1.32E-06
279,1.32E-06
280,1.32E-06
281,1.33E-06
282,1.33E-06
283,1.34E-06
284,1.34E-06
285,1.35E-06
286,1.35E-06
287,1.36E-06
288,1.37E-06
289,1.38E-06
290,1.38E-06
291,1.39E-06
292,1.40E-06
293,1.40E-06
294,1.41E-06
295,1.42E-06
296,1.42E-06
297,1.42E-06
298,1.43E-06
299,1.43E-06
300,1.44E-06
301,1.44E-06
302,1.44E-06
303,1.44E-06
304,1.45E-06
305,1.45E-06
306,1.45E-06
307,1.45E-06
308,1.45E-06
309,1.45E-06
310,1.45E-06
311,1.44E-06
312,1.43E-06
313,1.43E-06
314,1.42E-06
315,1.41E-06
316,1.40E-06
317,1.39E-06
318,1.37E-06
319,1.35E-06
320,1.33E-06
321,1.31E-06
322,1.28E-06
323,1.26E-06
324,1.23E-06
325,1.21E-06
326,1.19E-06
327,1.18E-06
328,1.43E-06
329,1.73E-06
330,6.87E-04
331,2.18E-06
332,6.18E-04
333,5.50E-04
334,4.82E-04
335,4.15E-04
336,3.49E-04
337,2.85E-04
338,2.24E-04
339,1.67E-04
340,1.16E-04
341,7.51E-05
342,4.30E-05
343,2.23E-05
344,1.24E-05
345,6.37E-06
346,4.25E-06
347,3.11E-06
348,2.08E-06
349,2.23E-06
350,2.94E-06
351,6.87E-04
352,6.88E-04
353,6.88E-04
354,6.89E-04
355,6.89E-04
356,6.89E-04
357,6.88E-04
358,6.88E-04
359,2.76E-06
360,3.65E-06
361,4.97E-06
362,7.88E-06
363,1.44E-05
364,2.95E-05
365,5.85E-05
366,9.88E-05
367,1.47E-04
368,2.02E-04
369,2.62E-04
370,3.25E-04
371,3.90E-04
372,4.57E-04
373,5.25E-04
374,6.02E-04
375,2.07E-06
376,2.18E-06
377,2.92E-06
378,4.85E-04
379,4.62E-04
380,4.54E-04
381,4.62E-04
382,4.85E-04
383,3.85E-05
384,2.64E-05
385,2.19E-05
386,2.64E-05
387,3.85E-05
388,1.99E-06
389,2.09E-06
390,2.14E-06
391,2.18E-06
392,2.22E-06
393,2.26E-06
394,2.30E-06
395,2.33E-06
396,2.36E-06
397,2.40E-06
398,2.43E-06
399,2.46E-06
400,2.49E-06
401,2.52E-06
402,2.55E-06
403,2.57E-06
404,2.60E-06
405,2.62E-06
406,2.65E-06
407,2.67E-06
408,2.69E-06
409,2.71E-06
410,2.73E-06
411,2.75E-06
412,2.77E-06
413,2.78E-06
414,2.79E-06
415,2.81E-06
416,2.82E-06
417,2.83E-06
418,2.84E-06
419,2.84E-06
420,2.85E-06
421,2.85E-06
422,2.85E-06
423,2.85E-06
424,2.85E-06
425,2.84E-06
426,2.84E-06
427,2.82E-06
428,2.81E-06
429,2.80E-06
430,2.77E-06
431,2.75E-06
432,2.72E-06
433,2.69E-06
434,2.66E-06
435,2.62E-06
436,2.57E-06
437,2.52E-06
438,2.47E-06
439,2.40E-06
440,2.34E-06
441,2.27E-06
442,2.31E-06
443,3.03E-06
444,3.96E-06
445,6.03E-06
446,8.00E-06
447,9.05E-06
448,8.15E-06
449,6.05E-06
450,3.86E-06
451,2.49E-06
452,1.23E-06
453,1.07E-06
454,6.92E-07
455,5.04E-08
456,1.75E-06
457,1.44E-06
458,1.07E-06
459,7.41E-07
460,1.00E-07
461,1.91E-06
462,3.73E-06
463,3.82E-06
464,2.22E-06
465,1.35E-06
466,1.19E-06
467,1.20E-06
468,1.22E-06
469,1.24E-06
470,1.27E-06
471,1.29E-06
472,1.32E-06
473,1.34E-06
474,1.36E-06
475,1.38E-06
476,1.40E-06
477,1.41E-06
478,1.42E-06
479,1.43E-06
480,1.44E-06
481,1.45E-06
482,1.45E-06
483,1.46E-06
484,1.46E-06
485,1.46E-06
486,1.46E-06
487,1.46E-06
488,1.46E-06
489,1.46E-06
490,1.46E-06
491,1.45E-06
492,1.45E-06
493,1.44E-06
494,1.44E-06
495,1.43E-06
496,1.43E-06
497,1.43E-06
498,1.42E-06
499,1.41E-06
500,1.41E-06
501,1.40E-06
502,1.39E-06
503,1.39E-06
504,1.38E-06
505,1.37E-06
506,1.37E-06
507,1.36E-06
508,1.35E-06
509,1.35E-06
510,1.34E-06
511,1.34E-06
512,1.33E-06
513,1.33E-06
514,1.33E-06
515,1.32E-06
516,1.33E-06
517,1.33E-06
518,1.34E-06
519,1.52E-06
520,1.74E-06
521,5.31E-14
522,1.05E-13
523,4.80E-13
524,2.16E-12
525,9.66E-12
526,4.24E-11
527,1.96E-10
528,7.64E-10
529,3.38E-09
530,1.53E-08
531,5.33E-08
532,1.87E-07
533,3.77E-07
534,6.15E-07
535,8.31E-07
536,9.89E-07
537,1.10E-06
538,5.21E-14
539,1.07E-06
540,9.22E-07
541,6.95E-07
